gene gene_id gene_type chromosome start_position end_position pLI gene_midpoint
SAMD11 ENSG00000187634 protein_coding 1 860260 879955 4.7681e-14 870107.0
NOC2L ENSG00000188976 protein_coding 1 879584 894689 2.8933e-29 887136.0
KLHL17 ENSG00000187961 protein_coding 1 895967 901095 1.3052e-16 898531.0
PLEKHN1 ENSG00000187583 protein_coding 1 901877 911245 1.1548999999999999e-14 906561.0
C1orf170 ENSG00000187642 protein_coding 1 910579 917497 1.1667e-15 914038.0
HES4 ENSG00000188290 protein_coding 1 934342 935552 1.3745999999999998e-05 934947.0
ISG15 ENSG00000187608 protein_coding 1 948803 949920 0.40526999999999996 949361.0
AGRN ENSG00000188157 protein_coding 1 955503 991496 5.4727e-07 973499.0
RNF223 ENSG00000237330 protein_coding 1 1006346 1009687 0.026565 1008016.0
C1orf159 ENSG00000131591 protein_coding 1 1017198 1051741 0.0001645 1034469.0
TTLL10 ENSG00000162571 protein_coding 1 1109264 1133315 1.2286e-11 1121289.0
TNFRSF18 ENSG00000186891 protein_coding 1 1138888 1142071 1.4516e-06 1140479.0
TNFRSF4 ENSG00000186827 protein_coding 1 1146706 1149518 0.00015133 1148112.0
SDF4 ENSG00000078808 protein_coding 1 1152288 1167411 0.0091042 1159849.0
B3GALT6 ENSG00000176022 protein_coding 1 1167629 1170421 0.022667 1169025.0
FAM132A ENSG00000184163 protein_coding 1 1177826 1182102 6.206299999999999e-08 1179964.0
UBE2J2 ENSG00000160087 protein_coding 1 1189289 1209265 0.90974 1199277.0
SCNN1D ENSG00000162572 protein_coding 1 1215816 1227409 1.6506999999999997e-33 1221612.0
ACAP3 ENSG00000131584 protein_coding 1 1227756 1244989 4.4135e-06 1236372.0
PUSL1 ENSG00000169972 protein_coding 1 1243947 1247057 2.6542999999999998e-20 1245502.0
CPSF3L ENSG00000127054 protein_coding 1 1246965 1260071 5.991000000000001e-14 1253518.0
GLTPD1 ENSG00000224051 protein_coding 1 1260136 1264277 0.02254 1262206.0
TAS1R3 ENSG00000169962 protein_coding 1 1266694 1270686 6.7868e-25 1268690.0
DVL1 ENSG00000107404 protein_coding 1 1270656 1284730 3.7312999999999997e-06 1277693.0
MXRA8 ENSG00000162576 protein_coding 1 1288069 1297157 1.6738e-07 1292613.0
AURKAIP1 ENSG00000175756 protein_coding 1 1309110 1310875 9.967799999999999e-05 1309992.0
CCNL2 ENSG00000221978 protein_coding 1 1321091 1334708 0.16094 1327899.0
RP4-758J18.2 ENSG00000224870 protein_coding 1 1334902 1337426 0.011798999999999999 1336164.0
MRPL20 ENSG00000242485 protein_coding 1 1337288 1342693 2.7079000000000004e-06 1339990.0
ANKRD65 ENSG00000235098 protein_coding 1 1353800 1357149 5.061899999999999e-09 1355474.0
TMEM88B ENSG00000205116 protein_coding 1 1361508 1363167 0.43487 1362337.0
VWA1 ENSG00000179403 protein_coding 1 1370241 1378262 0.0052878 1374251.0
ATAD3C ENSG00000215915 protein_coding 1 1385069 1405538 7.2718000000000005e-09 1395303.0
ATAD3B ENSG00000160072 protein_coding 1 1407143 1433228 1.0032e-22 1420185.0
ATAD3A ENSG00000197785 protein_coding 1 1447531 1470067 4.0861e-09 1458799.0
TMEM240 ENSG00000205090 protein_coding 1 1470554 1475833 0.22904000000000002 1473193.0
SSU72 ENSG00000160075 protein_coding 1 1477053 1510249 0.77861 1493651.0
C1orf233 ENSG00000228594 protein_coding 1 1533392 1535476 0.11947999999999999 1534434.0
MIB2 ENSG00000197530 protein_coding 1 1550795 1565990 2.8024000000000003e-07 1558392.0
MMP23B ENSG00000189409 protein_coding 1 1567474 1570639 0.11732000000000001 1569056.0
